"doy","instrument","replicate","species","plot","leaf","spad","J_at_25","Rd_at_25","Vcmax_at_25","Tp","J_tl_avg","Rd_tl_avg","Vcmax_tl_avg","operating_Ci","operating_An","operating_An_model","convergence","convergence_msg","feval","RSS","MSE","RMSE","RSE"
"NA","UserDefCon","UserDefCon","UserDefCon","UserDefCon","UserDefCon","UserDefCon","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","estimate_operating_point","estimate_operating_point","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","residual_stats","residual_stats","residual_stats","residual_stats"
"NA",NA,NA,NA,NA,NA,NA,"micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)"
"194","ripe2","1","ld10","6","4","37.7","165.203208464685","1.61139772783028",NA,"13.4810446244179","200.900105120942","1.95118524719203",NA,"312.576055889778","31.9105450170755","30.0733161256415","0","Successful convergence","181","81.5484480383916","6.27295754141474","2.50458729961939","3.01013931088453"
"194","ripe2","2","ld10","3","2","43.4","147.860324314228","1.90010330548747",NA,"13.0709759016293","180.023674274012","2.30368615536636",NA,"304.339911888223","25.0084419841512","25.9868276530397","0","Successful convergence","210","114.983701439045","8.21312153136036","2.86585441559064","3.39092467387651"
"194","ripe2","3","ld10","4","4","37.3","169.931856341874","0.597218557640733","125.405377992703","13.5382226586002","206.968260303267","0.72433659651093","162.447549883071","279.876545577673","28.7064104628292","30.1343784596547","0","Successful convergence","246","2.63322378402596","0.188087413144712","0.433690457751507","0.513149469845382"
"194","ripe2","4","ld10","5","3","46.1","187.171441864281","0.377764062941943","136.532606631283","14.4226043988785","227.821982562971","0.457864237644451","176.694641896866","277.288833702006","31.1084308337875","32.8199497751034","0","Successful convergence","519","2.17268909227344","0.155192078019531","0.393944257502926","0.46612113149625"
"194","ripe5","1","ld11","6","3","44.2",NA,"0.0319512758052976","163.219740100276",NA,NA,"0.0387165159137754","211.158042726786",NA,NA,NA,"0","Successful convergence","174","0.803208714679079","0.100401089334885","0.316861309305641","0.448109561011333"
"194","ripe5","2","ld11","3","4","38.4","159.705506159796","0.943360539312782","134.344651673686","13.8752313293728","194.189257328102","1.14212375956366","173.592522596917","264.700438837239","28.4788988241282","27.3996901687351","0","Successful convergence","349","11.9799177940205","0.855708413858605","0.925045087473365","1.09452810809136"
"194","ripe5","3","ld11","4","3","46.5","220.216663471735","2.11402612082523e-07","153.152788078578","18.2064594806162","268.197907768096","2.5638477264333e-07","198.374990615467","271.27958758403","35.0286398332831","36.5186053672831","0","Successful convergence","382","5.39232327523527","0.385165948231091","0.620617392788094","0.734324402102727"
"194","ripe5","4","ld11","5","4","35.4",NA,"0.758100847637228","114.979055419165","10.2170285501537",NA,"0.91875719403906","148.780600689483","288.169421661988","26.2050192544696","28.1792442780623","0","Successful convergence","236","8.45902763679076","0.604216259770768","0.777313488735895","0.919729723168212"
"223","mcgrath1","1","ld11","6","8","47.9","153.370599117599","0.203166793978155","109.812126226967",NA,"234.558976568202","0.31413055804366","200.239879167962","261.086935205406","25.6973724987851","25.137411348384","0","Successful convergence","304","4.18290511927124","0.298778937090803","0.546606748120441","0.646753826372233"
"223","mcgrath1","2","ld11","6","11","38.2","166.966348616286","0.265087061936359","126.229617101781","16.880325321271","255.356686544833","0.409878430583262","230.184446699589","281.309470511392","30.467976335736","31.3952925802539","0","Successful convergence","367","5.91513692211383","0.422509780150988","0.650007523149531","0.769099273313519"
"223","mcgrath1","3","ld11","4","8","50.7","181.385057528445","6.52752074614682e-08","135.319315341807","18.3219843904978","277.117052049504","1.00815609139593e-07","246.36972179378","297.258918455892","35.1211709812517","36.201715035572","0","Successful convergence","457","4.25234693341349","0.303739066672392","0.551125273120724","0.652100217252954"
"223","mcgrath1","4","ld11","3","11","38.6","126.415815698621","1.52040013912114e-07","103.09226111158","12.4759192812938","193.131283253889","2.34815301712311e-07","187.689492416852","294.613875077029","26.1618197441035","26.9278474334344","0","Successful convergence","473","1.1831899357067","0.0845135668361932","0.290712171806055","0.343975280464557"
"223","mcgrath2","1","ld10","6","12","38.4","139.330815593261","8.15187362057657e-09","107.639805230849","12.1631915344678","212.713938038928","1.25806531059609e-08","195.762904747502","276.641150375175","26.1224514219215","26.6281058120182","0","Successful convergence","370","46.6376896552648","3.58751458886652","1.89407354367947","2.27639309374538"
"223","mcgrath2","2","ld10","6","8","51.6","144.413591932563","2.77892708844263e-09","131.301944825939",NA,"220.855148111127","4.29658583369128e-09","239.417767534482","282.678890399768","31.4147093804097","30.166329272254","0","Successful convergence","328","26.6169100328444","2.0474546179111","1.43089294425233","1.71971929340047"
"223","mcgrath2","3","ld10","5","10","43.3","145.518750116177","5.79652992271917e-10","116.647093993194",NA,"222.564172528782","8.96300579465302e-10","212.722832139634","259.252699134024","26.5584999233715","26.8248467247216","0","Successful convergence","453","6.25155874366441","0.446539910261744","0.668236417940345","0.790667992501557"
